unidad;coeficiente;ordinario;extraordinario;ajuste_redondeo;total;observacion
1A;12.50000000;125000.09;25000.00;-0.04;150000.09;ajuste por redondeo asignado a mayor coeficiente id menor
1B;12.50000000;125000.13;25000.00;0.00;150000.13;
1C;12.50000000;125000.13;25000.00;0.00;150000.13;
1D;12.50000000;125000.13;25000.00;0.00;150000.13;
2A;7.50000000;75000.08;15000.00;0.00;90000.08;
2B;7.50000000;75000.08;15000.00;0.00;90000.08;
2C;7.50000000;75000.08;15000.00;0.00;90000.08;
2D;7.50000000;75000.08;15000.00;0.00;90000.08;
3A;5.00000000;50000.05;10000.00;0.00;60000.05;
3B;5.00000000;50000.05;10000.00;0.00;60000.05;
3C;5.00000000;50000.05;10000.00;0.00;60000.05;
3D;5.00000000;50000.05;10000.00;0.00;60000.05;
TOTAL;;;-0.04;1200001.00;ordinarios 1000001.00 + extraordinarios 200000.00
