unidad;coeficiente;ordinario;extraordinario;ajuste_redondeo;total;observacion
1A;12.50000000;150000.00;37500.00;0.00;187500.00;mayor coeficiente, sin ajuste
1B;12.50000000;150000.00;37500.00;0.00;187500.00;
1C;12.50000000;150000.00;37500.00;0.00;187500.00;
1D;12.50000000;150000.00;37500.00;0.00;187500.00;
2A;7.50000000;90000.00;22500.00;0.00;112500.00;
2B;7.50000000;90000.00;22500.00;0.00;112500.00;
2C;7.50000000;90000.00;22500.00;0.00;112500.00;
2D;7.50000000;90000.00;22500.00;0.00;112500.00;
3A;5.00000000;60000.00;15000.00;0.00;75000.00;
3B;5.00000000;60000.00;15000.00;0.00;75000.00;
3C;5.00000000;60000.00;15000.00;0.00;75000.00;
3D;5.00000000;60000.00;15000.00;0.00;75000.00;
TOTAL;;;0.00;1500000.00;ordinarios 1200000.00 + extraordinarios 300000.00
